State,District,Latitude,Longitude
andaman-&-nicobar-islands,north and middle andaman district,11.55482845,92.238490
andaman-&-nicobar-islands,south andaman district,10.7056905,92.48746789633373
andaman-&-nicobar-islands,nicobars district,10.7056905,92.48746789633373
andhra-pradesh,east godavari district,17.233496,81.7225986
andhra-pradesh,srikakulam district,17.233496,81.7225986
andhra-pradesh,spsr nellore district,14.71875825,79.65961022770595
andhra-pradesh,vizianagaram district,18.110744,83.386585
andhra-pradesh,visakhapatnam district,18.110744,83.386585
andhra-pradesh,prakasam district,15.2282086,79.87449940066091
andhra-pradesh,anantapur district,15.2282086,79.87449940066091
andhra-pradesh,ysr district,17.0771387,81.6653938
andhra-pradesh,west godavari district,16.9550574,81.4530037
andhra-pradesh,kurnool district,15.8344103,78.0499956
andhra-pradesh,chittoor district,13.0108668,79.2249071
andhra-pradesh,guntur district,13.0108668,79.2249071
andhra-pradesh,krishna district,17.0347692,81.7819183
arunachal-pradesh,lower dibang valley district,17.0347692,81.7819183
arunachal-pradesh,lower subansiri district,27.8,93.6
arunachal-pradesh,longding district,27.8,93.6
arunachal-pradesh,west siang district,28.4,94.55
arunachal-pradesh,kamle district,28.4,94.55
arunachal-pradesh,upper siang district,28.6416983,95.0252232
arunachal-pradesh,tirap district,27.5013437,96.5242944
arunachal-pradesh,papum pare district,27.5013437,96.5242944
arunachal-pradesh,kurung kumey district,27.98636765,93.15783468644102
arunachal-pradesh,siang district,28.477491999999998,94.81655728795752
arunachal-pradesh,lower siang district,28.477491999999998,94.81655728795752
arunachal-pradesh,kra daadi district,27.9366293,92.6658618
arunachal-pradesh,changlang district,27.272007000000002,96.06552596101915
arunachal-pradesh,pakke kessang district,27.1061731,92.9311395
arunachal-pradesh,dibang valley district,28.8291044,95.95540957636018
arunachal-pradesh,west kameng district,27.33862695,92.43336623881613
arunachal-pradesh,east siang district,28.3,95.15
arunachal-pradesh,upper subansiri district,28.3,94.0
arunachal-pradesh,east kameng district,27.55778095,92.96738426595107
arunachal-pradesh,lohit district,28.0060625,96.2431946
arunachal-pradesh,lepa rada district,28.0060625,96.2431946
arunachal-pradesh,tawang district,27.674194200000002,91.93620587613823
arunachal-pradesh,namsai district,27.674194200000002,91.93620587613823
arunachal-pradesh,anjaw district,28.1114301,96.82699963398373
arunachal-pradesh,shi yomi district,28.1114301,96.82699963398373
assam,tinsukia district,27.597170900000002,95.56685292013799
assam,lakhimpur district,27.2382645,94.1053145
assam,kamrup district,26.2074223,91.6771799
assam,kokrajhar district,26.2074223,91.6771799
assam,karbi anglong district,26.0,93.5
assam,sivasagar district,26.0,93.5
assam,dibrugarh district,27.4881672,95.3623358
assam,south salmara mancachar district,27.4881672,95.3623358
assam,nagaon district,27.4881672,95.3623358
assam,dhubri district,25.543251265569026,87.56949075116762
assam,golaghat district,26.5305611,93.9603353
assam,udalguri district,26.70472375,92.04215071409463
assam,majuli district,26.70472375,92.04215071409463
assam,sonitpur district,26.70472375,92.04215071409463
assam,hojai district,26.70472375,92.04215071409463
assam,marigaon district,26.70472375,92.04215071409463
assam,chirang district,26.70472375,92.04215071409463
assam,cachar district,25.083333,92.916667
assam,nalbari district,25.083333,92.916667
assam,west karbi anglong district,25.083333,92.916667
assam,dhemaji district,27.5945155,94.71920979201423
assam,karimganj district,24.86648155,92.35121508187882
assam,bongaigaon district,24.86648155,92.35121508187882
assam,dima hasao district,25.400362549999997,93.07522922678905
assam,baksa district,25.400362549999997,93.07522922678905
assam,charaideo district,25.400362549999997,93.07522922678905
assam,darrang district,26.75,92.5
assam,kamrup metropolitan district,26.75,92.5
